,epoch,train_acc,train_loss,valid_acc,valid_loss
0,0,0.11528445,2.3985515,0.113486834,2.3015134
1,1,0.11389892,2.3012283,0.113486834,2.3017771
2,2,0.11396569,2.3012567,0.113486834,2.3012428
3,3,0.11299747,2.3013768,0.113486834,2.3030696
4,4,0.113181084,2.301553,0.113486834,2.3018217
5,5,0.113765374,2.3014512,0.113486834,2.3021383
6,6,0.114182696,2.301507,0.113486834,2.3012037
7,7,0.11242992,2.3015065,0.104029596,2.3020978
8,8,0.11273037,2.3016644,0.113486834,2.301701
9,9,0.113398105,2.3017914,0.113486834,2.3016953
10,10,0.11229637,2.3015938,0.113486834,2.3014424
11,11,0.11358174,2.301392,0.113486834,2.3020694
12,12,0.11089409,2.3017483,0.113486834,2.3013532
13,13,0.1144832,2.3015122,0.113486834,2.3018155
14,14,0.11409925,2.301389,0.113486834,2.3016288
15,15,0.114433095,2.3014576,0.113486834,2.3013866
